iter	Passed	Remaining
0	6298	119675
1	24325	218932
2	36349	205980
3	60403	241615
4	68584	205753
5	84797	197861
6	108424	201359
7	120221	180332
8	143618	175533
9	155515	155515
10	190488	155854
11	202055	134703
12	235478	126796
13	252638	108273
14	302069	100689
15	335568	83892
16	369593	65222
17	399580	44397
18	458400	24126
19	487188	0
