iter	RMSE
0	21637.5364
1	17948.3694
2	17926.2665
3	16525.27461
4	21070.83165
5	18263.85538
6	17249.00495
7	21216.88238
8	18026.14104
9	20236.48706
10	17922.42056
11	20734.5116
12	17263.2252
13	22990.61364
14	15929.80418
15	16633.61056
16	18779.26612
17	19841.67179
18	18539.15791
19	21319.65333
33
4
